"name","domain","hqCountry","source","sourceEvidenceUrl"
"AN2 Therapeutics, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Sphere 3D Corp.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Alpha and Omega Semiconductor Limited",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"American Outdoor Brands, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"ARKO Petroleum Corp.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"American Public Education, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Apogee Therapeutics, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Agora, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Applied Digital Corporation",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Apollomics Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Apellis Pharmaceuticals, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Aptorum Group Limited",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Apogee Enterprises, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Applovin Corporation",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"AppFolio, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Appian Corporation",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Digital Turbine, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Aprea Therapeutics, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Aptevo Therapeutics Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Asia Pacific Wire & Cable Corporation Limited",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Apex Treasury Corporation",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Apyx Medical Corporation",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"AquaBounty Technologies, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Aqua Metals, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Aquestive Therapeutics, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Arrive AI Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Accuray Incorporated",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"ARB IOT Group Limited",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Arbe Robotics Ltd.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Argo Blockchain plc",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"ArcBest Corporation",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Ares Capital Corporation",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Archimedes Tech SPAC Partners III Co.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Arcturus Therapeutics Holdings Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Ardelyx, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"American Rebel Holdings, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"American Resources Corporation",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"argenx SE",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Arhaus, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"ARKO Corp.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Ark Restaurants Corp.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Alliance Resource Partners, L.P.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Arm Holdings plc",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Arrow Financial Corporation",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Arq, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Arqit Quantum Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Arcutis Biotherapeutics, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Array Technologies, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Artelo Biosciences, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Artesian Resources Corporation",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Artiva Biotherapeutics, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Art's-Way Manufacturing Co., Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Arvinas, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Arrowhead Pharmaceuticals, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Arxis, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Aspire Biopharma Holdings, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"AerSale Corporation",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Assembly Biosciences, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"ASML Holding N.V.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Ascendis Pharma A/S",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Academy Sports and Outdoors, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"ASP Isotopes Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Altisource Portfolio Solutions S.A.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Assertio Holdings, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"AmeriServ Financial Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Strive, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Astrotech Corporation",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Astec Industries, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Astrana Health Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Ascent Solar Technologies, Inc",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Algoma Steel Group Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"AST SpaceMobile, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Asure Software Inc",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Amtech Systems, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"AtaiBeckley Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Atour Lifestyle Holdings Limited",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Atlas Critical Minerals Corporation",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Alphatec Holdings, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Aterian, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
